"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000469994",29.767432266431,1.43198848879895,0.0657346752950592,21.7843700051954,3.26404158135836e-105,5.38547276674641e-100
"ENST00000377308",33.3305787150768,1.23071682475018,0.0570932306491668,21.5562652657165,4.62455440361244e-103,3.81511864634815e-98
"ENST00000384965",14.7821766909774,0.915831557342272,0.0429079980829025,21.3440756563099,4.42629493820481e-101,2.43437369011388e-96
"ENST00000488640",52.7967599937991,1.5029798860037,0.0705877317705276,21.2923669355138,1.33606769508599e-100,5.51107883207544e-96
"ENST00000502926",36.1708407730031,0.704700204237892,0.0341756304222541,20.6199621054836,1.81700742157663e-94,5.9959064503123e-90
"ENST00000377293",28.0285308247857,1.10659365907048,0.0542969528062937,20.3804007753123,2.49603233356237e-92,6.86383931406315e-88
"ENST00000507007",25.6279771131105,0.764034551816979,0.0375502340046525,20.3469984161034,4.93587758377019e-92,1.1634145515094e-87
"ENST00000389656",32.0372219858715,1.17118369103845,0.0575941688724664,20.3351088133915,6.28998856428136e-92,1.2972629664688e-87
"ENST00000245957",36.1019259742148,1.16943116239142,0.058154237569691,20.109130671518,6.13903170404479e-90,1.12544821886352e-85
"ENST00000497372",15.0746802691471,0.785740943759169,0.039565132960363,19.8594288700189,9.13433843784746e-88,1.5071110362142e-83
"ENST00000398610",45.5099300720381,0.713998997836311,0.0362289755506544,19.7079543924177,1.84266495789954e-86,2.76389692785161e-82
"ENST00000306858",35.6103671396715,1.34382949469689,0.0683366731040796,19.664836370512,4.3155741874101e-86,5.93369872897951e-82
"ENST00000471716",55.0718657419145,1.56858594396146,0.0802398781825348,19.5487079428653,4.23101273409414e-85,5.36993626960868e-81
"ENST00000418835",31.25085360664,0.871682004568132,0.0446504949217904,19.5223368989519,7.09192221448938e-85,8.35803295612472e-81
"ENST00000399429",39.0872285249711,0.494571882667942,0.0255164990612355,19.3824349289081,1.0858551965489e-83,1.19439728199593e-79
"ENST00000476414",46.6422259764547,1.57744619763027,0.0816183894597243,19.3270929268787,3.17829072483105e-83,3.27749312407984e-79
"ENST00000435823",48.521652408566,0.480713388230254,0.0249031764292963,19.3032960913668,5.03900962583523e-83,4.89062561297092e-79
"ENST00000369039",52.1290912140207,0.613462464285481,0.0318269279042546,19.2749506371136,8.71835203877551e-83,7.99153209047626e-79
"ENST00000369038",46.850042754783,0.669817472559412,0.0348146218141082,19.2395446986581,1.72718835769779e-82,1.42487857944994e-78
"ENST00000622417",45.6105863806989,0.672250575310591,0.0349400067714804,19.2401386670398,1.70751021487201e-82,1.42487857944994e-78
